"","city.new","time","enrolltotal","enrollbeat","schooltotal","schoolbeat","enrollbeat.pct","schoolbeat.pct","enrolltotal.cs","enrollbeat.cs","schooltotal.cs","schoolbeat.cs","enrollbeat.pct.cs","schoolbeat.pct.cs","enrolltotal.tps","enrollbeat.tps","schooltotal.tps","schoolbeat.tps","enrollbeat.pct.tps","schoolbeat.pct.tps"
"1","Kansas City city","Y1",60360,3429,141,9,0.0568091451292247,0.0638297872340425,8354,1258,25,3,0.150586545367489,0.12,52006,2171,116,6,0.0417451832480868,0.0517241379310345
"2","Kansas City city","Y2",60452,3935,127,13,0.0650929663203864,0.102362204724409,9267,1721,28,5,0.185712744145894,0.178571428571429,51185,2214,99,8,0.0432548598222135,0.0808080808080808
"3","Kansas City city","Y3",61199,3577,132,12,0.0584486674618866,0.0909090909090909,9866,1270,33,5,0.12872491384553,0.151515151515152,51333,2307,99,7,0.044941850271755,0.0707070707070707
"4","Kansas City city","Y4",61926,3768,129,13,0.060846817168879,0.10077519379845,9535,1483,32,6,0.155532249606712,0.1875,52391,2285,97,7,0.043614361245252,0.0721649484536082
"5","Kansas City city","Y5",60719,2715,126,8,0.0447141751346366,0.0634920634920635,9393,1081,29,4,0.115085702118599,0.137931034482759,51326,1634,97,4,0.0318357167907104,0.0412371134020619
"6","Kansas City city","Y6",59400,4974,122,14,0.0837373737373737,0.114754098360656,8882,2963,26,9,0.33359603692862,0.346153846153846,50518,2011,96,5,0.0398075933330694,0.0520833333333333
"7","Kansas City city","Y7",60940,4745,126,11,0.0778634722678044,0.0873015873015873,9749,2163,30,5,0.221868909631757,0.166666666666667,51191,2582,96,6,0.0504385536520091,0.0625
