YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,ENROLLMENT_GRADES_K_12,DISCIPLINE_INCIDENTS,DISCIPLINE_INCIDENT_RATE,DISCIPLINE_ALCOHOL,DISCIPLINE_ALCOHOL_RATE,DISCIPLINE_DRUG,DISCIPLINE_DRUG_RATE,DISCIPLINE_OTHER,DISCIPLINE_OTHER_RATE,DISCIPLINE_TOBACCO,DISCIPLINE_TOBACCO_RATE,DISCIPLINE_VIOLENCE,DISCIPLINE_VIOLENCE_RATE,DISCIPLINE_WEAPON,DISCIPLINE_WEAPON_RATE,DISCIPLINE_REMOVAL_IN_SCHL_SUSP,DISCIPLINE_REMOVAL_IN_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_EXPULSION,DISCIPLINE_EXPULSION_RATE,DISCIPLINE_MORE_10_DAYS,DISCIPLINE_MORE_10_DAYS_RATE
2001,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,156,4,2.6,1,0.6,2,1.3,0,0,0,0,0,0,1,0.6,0,0,3,1.9,1,0.6,1,0.6
2002,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,166,1,0.6,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,1,0.6,0,0,1,0.6
2003,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,166,1,0.6,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,1,0.6,1,0.6
2004,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,155,2,1.3,0,0,1,0.6,0,0,0,0,1,0.6,0,0,0,0,2,1.3,0,0,2,1.3
2006,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,135,1,0.7,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0,1,0.7,0,0,1,0.7
2007,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,138,3,2.2,0,0,1,0.7,1,0.7,0,0,1,0.7,0,0,0,0,3,2.2,0,0,3,2.2
2008,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,136,1,0.7,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0,1,0.7,0,0,1,0.7
2009,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,122,2,1.6,0,0,0,0,1,0.8,0,0,0,0,0,0,0,0,2,1.6,0,0,1,0.8
2014,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,167,1,0.6,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6
2002,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,126,3,2.4,0,0,0,0,3,2.4,0,0,0,0,0,0,0,0,3,2.4,0,0,0,0
2013,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,777,6,0.8,0,0,4,0.5,1,0.1,0,0,0,0,1,0.1,0,0,0,0,2,0.3,6,0.8
2002,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,777,4,0.5,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5
2003,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,777,3,0.4,0,0,3,0.4,0,0,0,0,0,0,0,0,0,0,3,0.4,0,0,3,0.4
2005,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,802,3,0.4,0,0,0,0,3,0.4,0,0,0,0,0,0,0,0,2,0.2,1,0.1,1,0.1
2006,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,829,1,0.1,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0,0,0,0
2008,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,828,3,0.4,0,0,0,0,2,0.2,0,0,0,0,1,0.1,0,0,3,0.4,0,0,1,0.1
2009,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,788,7,0.9,0,0,0,0,6,0.8,1,0.1,0,0,0,0,0,0,7,0.9,0,0,3,0.4
2010,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,824,5,0.6,0,0,0,0,5,0.6,0,0,0,0,0,0,2,0.2,3,0.4,0,0,3,0.4
2011,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,796,5,0.6,0,0,1,0.1,3,0.4,1,0.1,0,0,0,0,0,0,5,0.6,0,0,2,0.3
2012,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,780,4,0.5,0,0,1,0.1,2,0.3,0,0,0,0,1,0.1,0,0,4,0.5,0,0,0,0
2013,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,775,2,0.3,0,0,0,0,2,0.3,0,0,0,0,0,0,0,0,2,0.3,0,0,1,0.1
2014,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,764,1,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0.1
2015,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,755,10,1.3,0,0,0,0,9,1.2,0,0,0,0,1,0.1,0,0,10,1.3,0,0,6,0.8
2016,001091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH,750,5,0.7,0,0,2,0.3,3,0.4,0,0,0,0,0,0,0,0,5,0.7,0,0,2,0.3
2001,001091,KIRKSVILLE R-III,3000,KIRKSVILLE JR. HIGH,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,001091,KIRKSVILLE R-III,3000,KIRKSVILLE JR. HIGH,545,2,0.4,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,2,0.4,0,0,1,0.2
2003,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE SCHOOL,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,565,1,0.2,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2
2005,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,552,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2,0,0,0,0
2006,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,589,2,0.3,0,0,0,0,2,0.3,0,0,0,0,0,0,2,0.3,0,0,0,0,1,0.2
2008,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,583,9,1.5,0,0,0,0,9,1.5,0,0,0,0,0,0,1,0.2,8,1.4,0,0,7,1.2
2009,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,546,11,2,0,0,0,0,10,1.8,0,0,0,0,0,0,1,0.2,10,1.8,0,0,9,1.6
2010,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,526,1,0.2,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2
2011,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,534,6,1.1,0,0,0,0,2,0.4,2,0.4,0,0,0,0,1,0.2,5,0.9,0,0,5,0.9
2012,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,001091,KIRKSVILLE R-III,3000,KIRKSVILLE MIDDLE,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,001091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL,543,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0
2015,001091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL,513,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0,0,1,0.2
2016,001091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL,525,3,0.6,0,0,0,0,3,0.6,0,0,0,0,0,0,0,0,3,0.6,0,0,0,0
2001,001091,KIRKSVILLE R-III,4030,K-2 ELEM.,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,001091,KIRKSVILLE R-III,4030,K-2 ELEM.,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,001091,KIRKSVILLE R-III,4030,K-2 ELEM.,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,001091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,001091,KIRKSVILLE R-III,4050,RAY MILLER ELEM.,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,112,1,0.9,0,0,0,0,0,0,0,0,0,0,1,0.9,0,0,1,0.9,0,0,1,0.9
2005,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,115,1,0.9,0,0,0,0,0,0,0,0,0,0,1,0.9,0,0,0,0,0,0,1,0.9
2006,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,123,1,0.8,0,0,1,0.8,0,0,0,0,0,0,0,0,0,0,1,0.8,0,0,0,0
2010,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,118,3,2.5,0,0,0,0,3,2.5,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0
2011,001092,ADAIR CO. R-II,1050,1050 ADAIR CO. HIGH,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,001092,ADAIR CO. R-II,1050,1050 ADAIR CO. HIGH,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,001092,ADAIR CO. R-II,1050,1050 ADAIR CO. HIGH,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,001092,ADAIR CO. R-II,1050,1050 ADAIR CO. HIGH,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,001092,ADAIR CO. R-II,1050,ADAIR CO. HIGH,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,137,1,0.7,0,0,0,0,0,0,0,0,0,0,1,0.7,0,0,1,0.7,0,0,0,0
2006,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,128,1,0.8,0,0,0,0,0,0,0,0,1,0.8,0,0,1,0.8,0,0,0,0,0,0
2008,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,001092,ADAIR CO. R-II,4020,ADAIR CO. ELEM.,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,106,2,1.9,2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,2,1.9,0,0,0,0
2005,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,114,3,2.6,0,0,0,0,3,2.6,0,0,0,0,0,0,0,0,3,2.6,0,0,0,0
2008,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,108,4,3.7,0,0,0,0,3,2.8,0,0,1,0.9,0,0,1,0.9,3,2.8,0,0,0,0
2009,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,111,2,1.8,0,0,0,0,1,0.9,0,0,0,0,0,0,0,0,2,1.8,0,0,0,0
2010,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,106,1,0.9,0,0,0,0,1,0.9,0,0,0,0,0,0,0,0,1,0.9,0,0,0,0
2011,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,114,1,0.9,0,0,0,0,0,0,1,0.9,0,0,0,0,1,0.9,0,0,0,0,0,0
2013,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,002089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH,117,1,0.9,0,0,0,0,1,0.9,0,0,0,0,0,0,0,0,1,0.9,0,0,0,0
2001,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,96,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
2004,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,88,6,6.8,0,0,0,0,3,3.4,0,0,3,3.4,0,0,2,2.3,4,4.5,0,0,0,0
2005,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,84,2,2.4,0,0,0,0,2,2.4,0,0,0,0,0,0,1,1.2,1,1.2,0,0,0,0
2006,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,85,1,1.2,0,0,0,0,1,1.2,0,0,0,0,0,0,0,0,1,1.2,0,0,0,0
2009,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,86,2,2.3,0,0,0,0,1,1.2,0,0,0,0,0,0,0,0,2,2.3,0,0,0,0
2010,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,98,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2011,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,98,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2012,002089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
